CodInst,NomeInstituicao,Segmento
15124464,IF 15124464,N/D
15163587,IF 15163587,N/D
15168152,IF 15168152,N/D
15173776,IF 15173776,N/D
15213150,IF 15213150,N/D
15227994,IF 15227994,N/D
15357060,IF 15357060,N/D
15482499,IF 15482499,N/D
15489568,IF 15489568,N/D
15581638,IF 15581638,N/D
15761217,IF 15761217,N/D
16501555,IF 16501555,N/D
16564240,IF 16564240,N/D
16581207,IF 16581207,N/D
16651002,IF 16651002,N/D
16668076,IF 16668076,N/D
16683062,IF 16683062,N/D
16695922,IF 16695922,N/D
16721078,IF 16721078,N/D
16779741,IF 16779741,N/D
16814330,IF 16814330,N/D
16854999,IF 16854999,N/D
16927221,IF 16927221,N/D
16944141,IF 16944141,N/D
17079937,IF 17079937,N/D
17157777,IF 17157777,N/D
17167412,IF 17167412,N/D
17184037,IF 17184037,N/D
17192451,IF 17192451,N/D
17298092,IF 17298092,N/D
17312083,IF 17312083,N/D
17312661,IF 17312661,N/D
17314501,IF 17314501,N/D
17315359,IF 17315359,N/D
17343510,IF 17343510,N/D
17343682,IF 17343682,N/D
17351180,IF 17351180,N/D
17352220,IF 17352220,N/D
17354911,IF 17354911,N/D
17359351,IF 17359351,N/D
17361536,IF 17361536,N/D
17364795,IF 17364795,N/D
17411307,IF 17411307,N/D
17441197,IF 17441197,N/D
17453575,IF 17453575,N/D
17502881,IF 17502881,N/D
17508380,IF 17508380,N/D
17607375,IF 17607375,N/D
17635177,IF 17635177,N/D
17772370,IF 17772370,N/D
17819084,IF 17819084,N/D
17826860,IF 17826860,N/D
17887874,IF 17887874,N/D
17904906,IF 17904906,N/D
18140913,IF 18140913,N/D
18145784,IF 18145784,N/D
18188384,IF 18188384,N/D
18189547,IF 18189547,N/D
18236120,Banco Ourinvest S.A.,S3
18282093,IF 18282093,N/D
18287740,IF 18287740,N/D
18310649,IF 18310649,N/D
18340695,IF 18340695,N/D
18394228,IF 18394228,N/D
18520834,IF 18520834,N/D
18539102,IF 18539102,N/D
18587586,IF 18587586,N/D
18684408,IF 18684408,N/D
18810553,IF 18810553,N/D
18846364,IF 18846364,N/D
18945670,IF 18945670,N/D
18966739,IF 18966739,N/D
19086249,IF 19086249,N/D
19307785,IF 19307785,N/D
19324634,IF 19324634,N/D
19402130,IF 19402130,N/D
19449602,IF 19449602,N/D
19468242,IF 19468242,N/D
19495266,IF 19495266,N/D
19540550,IF 19540550,N/D
19869338,IF 19869338,N/D
19875244,IF 19875244,N/D
19962468,IF 19962468,N/D
20018183,IF 20018183,N/D
20062766,IF 20062766,N/D
20155248,IF 20155248,N/D
20158571,IF 20158571,N/D
