data_captura,data_referencia,NOME DO CONGLOMERADO,CLASSE DO CONGLOMERADO,CNPJ PARTICIPANTE,NOME DO PARTICIPANTE,TIPO PARTICIPAÇÃO,DATA INÍCIO,UF
2026-07-08,2026-06-01,BCO COOPERATIVO SICREDI - PRUDENCIAL,Privado Nacional com Participação Estrangeira,0118-15-21,BANCO COOPERATIVO SICREDI S.A.,LIDER,2014-01-02,RS
2026-07-08,2026-06-01,BCO COOPERATIVO SICREDI - PRUDENCIAL,Privado Nacional com Participação Estrangeira,0780-89-07,ADMINISTRADORA DE CONSORCIOS SICREDI LTDA,PARTICIPANTE,2014-01-02,RS
2026-07-08,2026-06-01,BCO DAYCOVAL S.A - PRUDENCIAL,Privado Nacional,6223-28-89,BANCO DAYCOVAL S.A.,LIDER/HOLDING,2014-01-02,SP
2026-07-08,2026-06-01,BCO DAYCOVAL S.A - PRUDENCIAL,Privado Nacional,5682-25-99,DAY MAXX 4 FIDC DE RESPONSABILIDADE LIMITADA,PARTICIPANTE,2025-08-01,
2026-07-08,2026-06-01,BCO DAYCOVAL S.A - PRUDENCIAL,Privado Nacional,4924-15-70,DAYCOVAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PARTICIPANTE,2023-08-31,SP
2026-07-08,2026-06-01,BCO DAYCOVAL S.A - PRUDENCIAL,Privado Nacional,4381-87-80,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.,PARTICIPANTE,2015-12-15,SP
2026-07-08,2026-06-01,BCO DAYCOVAL S.A - PRUDENCIAL,Privado Nacional,5773-10-12,DAYCOVAL LEASING SOCIEDADE DE ARRENDAMENTO MERCANTIL S.A.,PARTICIPANTE,2024-09-26,SP
2026-07-08,2026-06-01,BCO DAYCOVAL S.A - PRUDENCIAL,Privado Nacional,5307-61-37,DAYCOVAL REAL ESTATE CREDITO IMOBILIARIO I FII DE RESPONSABILIDADE LIMITADA,PARTICIPANTE,2025-08-01,SP
2026-07-08,2026-06-01,BCO DAYCOVAL S.A - PRUDENCIAL,Privado Nacional,5795-53-68,DAYCOVAL TESOURARIA FUNDO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA CP - RESP LIMTADA,PARTICIPANTE,2025-01-06,SP
2026-07-08,2026-06-01,BCO DO EST. DE SE S.A. - PRUDENCIAL,Público Federal,1300-97-17,BANCO DO ESTADO DE SERGIPE S.A.,LIDER/HOLDING,2014-01-02,SE
