data_captura,data_base,documento,cnpj,agencia,nome_instituicao,cod_congl,nome_congl,taxonomia,conta,nome_conta,saldo
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1843000008,DEVEDORES - CONTA LIQUIDAÇÕES PENDENTES,15610.56
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1844500002,OPERAÇÕES COM ATIVOS VIRTUAIS,98.15
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1860000005,Direitos Creditórios Oriundos de Ações Judiciais,62017052.71
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1862000003,PRECATÓRIOS - ADQUIRIDOS - COM REGISTRO PÚBLICO,62017052.71
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1880000009,Diversos,257008458236.19
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1880200005,ADIANTAMENTOS AO FGC OU AO FGCOOP,4381515989.76
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1880300008,ADIANTAMENTOS E ANTECIPAÇÕES SALARIAIS,142805790.44
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1880500004,ADIANTAMENTOS PARA PAGAMENTOS POR CONTA DA INSTITUIÇÃO,73835.65
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1882500002,ATIVOS FISCAIS DIFERIDOS DE IMPOSTOS E CONTRIBUIÇÕES,98034687569.99
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1883000006,VALORES A RECEBER EM MOEDA ESTRANGEIRA,1865851.12
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1883500001,DEVEDORES POR COMPRA DE VALORES E BENS,2057959.04
