data_base,AnoMes,CodInst,TipoInstituicao,NomeInstituicao,Segmento,ativo_total,NomeRelatorio,NumeroRelatorio,78191,78192,78193,78194,78195,78196,78197,78198,78202,aplicacoes_interfinanceiras,disponibilidades,outros_ativos_realizaveis,outros_creditos_liquido,permanente_ajustado,tvm_derivativos
2024-09-30,202409,65697260,3,IF 65697260,N/D,53035956401.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53035956401.0,7999525683.0,6529005994.0,105697208.0,3107911802.0,5937839111.0,1384770385.0
2024-12-31,202412,65697260,3,IF 65697260,N/D,50582216347.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50582216347.0,7811622894.0,1386823355.0,120433207.0,29315334532.0,11427078736.0,520923623.0
2024-03-31,202403,65913436,3,IF 65913436,N/D,45875473258.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45875473258.0,8079979222.0,696440454.0,2424139112.0,9287881848.0,2998985367.0,22388047255.0
2024-06-30,202406,65913436,3,IF 65913436,N/D,46337703263.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46337703263.0,18419838536.0,91108317.0,2235606056.0,7731359532.0,2608568089.0,15251222733.0
2024-09-30,202409,65913436,3,IF 65913436,N/D,43160824585.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43160824585.0,22309740353.0,78810069.0,194956713.0,6555588388.0,2439024399.0,9828094246.0
2024-12-31,202412,65913436,3,IF 65913436,N/D,56367081702.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56367081702.0,1358775031.0,413037766.0,1613319032.0,21623192448.0,22395669223.0,8963088202.0
2024-03-31,202403,66259110,3,IF 66259110,N/D,22545860994.0,Ativo,2,9753077318.0,-550486404.0,9202590914.0,0.0,0.0,0.0,0.0,0.0,22545860994.0,0.0,138754984.0,12167827577.0,278066972.0,355842766.0,402777781.0
2024-06-30,202406,66259110,3,IF 66259110,N/D,24626629142.0,Ativo,2,9500627131.0,-443697604.0,9056929527.0,0.0,0.0,0.0,0.0,0.0,24626629142.0,0.0,14468863.0,1427682091.0,393603215.0,350110913.0,404475947.0
2024-09-30,202409,66259110,3,IF 66259110,N/D,27045954453.0,Ativo,2,10292187386.0,-518999761.0,9773187625.0,0.0,0.0,0.0,0.0,0.0,27045954453.0,0.0,162388144.0,15940473544.0,293308618.0,342027875.0,534568647.0
2024-12-31,202412,66259110,3,IF 66259110,N/D,26868243982.0,Ativo,2,10756905823.0,-50901789.0,10247887933.0,0.0,0.0,0.0,0.0,0.0,26868243982.0,0.0,10651261.0,15131993666.0,449706787.0,349258201.0,582884785.0
